date,time,title,meeting_type,source,agenda_pdf,agenda_html,minutes_pdf,minutes_html,audio_link,video_link,mp4_download,detail_page,video_id
10/26/23,,Fort Collins Urban Renewal Authority Board Meeting 10/26/23,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2287?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2287?site=1,2287.0
11/14/23,,Fort Collins City Council Work Session 11/14/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2300?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2300?site=1,2300.0
11/21/23,,Fort Collins City Council Meeting 11/21/23,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2308?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2308?site=1,2308.0
12/5/23,,Fort Collins City Council Meeting 12/5/23,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2317?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2317?site=1,2317.0
12/4/23,,Fort Collins Urban Renewal Authority Board Meeting 12/4/23,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2318?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2318?site=1,2318.0
12/12/23,,Fort Collins City Council Work Session 12/12/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2324?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2324?site=1,2324.0
12/19/23,,Fort Collins City Council Regular Meeting 12/19/23,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2329?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2329?site=1,2329.0
1/9/24,,Fort Collins City Council Special Meeting 1/9/24,City Council Special Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2337?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2337?site=1,2337.0
1/16/24,,Fort Collins City Council Regular Meeting & Work Session 1/16/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2340?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2340?site=1,2340.0
1/23/24,,Fort Collins City Council Work Session 1/23/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2350?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2350?site=1,2350.0
2/6/24,,Fort Collins City Council Meeting 2/6/24,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2358?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2358?site=1,2358.0
2/13/24,,Fort Collins City Council Work Session 2/13/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2364?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2364?site=1,2364.0
2/20/24,,Fort Collins City Council Regular Meeting 2/20/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2368?site=1,https://reflect-vod-fcgov.cablecast.tv/store-4/2368-Council-Feb-20-pt-1-proc-v1/vod.mp4,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2368?site=1,2368.0
2/22/24,,Fort Collins Urban Renewal Authority Board Meeting 2/22/24,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2372?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2372?site=1,2372.0
2/27/24,,Fort Collins City Council Adjourned Meeting & Work Session 2/27/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2374?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2374?site=1,2374.0
3/5/24,,Fort Collins City Council Regular Meeting 3/5/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2384?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2384?site=1,2384.0
3/19/24,,Fort Collins City Council Meeting 3/19/24,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2391?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2391?site=1,2391.0
3/18/24,,Fort Collins City Council Special Meeting 3/18/24,City Council Special Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2397?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2397?site=1,2397.0
3/26/24,,Fort Collins City Council Work Session 3/26/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2402?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2402?site=1,2402.0
4/2/24,,Fort Collins City Council Meeting 4/2/24,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2407?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2407?site=1,2407.0
4/9/24,,Fort Collins City Council Work Session 4/9/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2413?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2413?site=1,2413.0
4/16/24,,Fort Collins City Council Meeting 4/16/24,City Council Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2422?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2422?site=1,2422.0
4/23/24,,Fort Collins City Council Work Session 4/23/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2430?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2430?site=1,2430.0
4/25/24,,Fort Collins Urban Renewal Authority Board Meeting 4/25/24,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2431?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2431?site=1,2431.0
5/7/24,,Fort Collins City Council Regular Meeting 5/7/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2439?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2439?site=1,2439.0
5/14/24,,Fort Collins City Council Work Session 5/14/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2445?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2445?site=1,2445.0
5/21/24,,Fort Collins City Council Regular Meeting 5/21/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2453?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2453?site=1,2453.0
5/23/24,,Fort Collins Urban Renewal Authority Board Meeting 5/23/24,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2454?site=1,https://reflect-vod-fcgov.cablecast.tv/store-4/2454-URA-May23-p1-v1/vod.mp4,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2454?site=1,2454.0
5/28/24,,Fort Collins City Council Work Session 5/28/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2457?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2457?site=1,2457.0
6/4/24,,Fort Collins City Council Regular Meeting 6/4/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2461?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2461?site=1,2461.0
6/11/24,,Fort Collins City Council Work Session 6/11/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2464?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2464?site=1,2464.0
6/18/24,,Fort Collins City Council Regular Meeting 6/18/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2468?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2468?site=1,2468.0
